rank,finalWorth,personName,city,source,industries,countryOfCitizenship,timestamp,gender,worth_billion_usd,time
3091,1176.822,Sachin Agarwal,Lucknow,Metal castings,['Manufacturing'],India,1783084502412,M,1.18,2026-07-03 18:45:02.412
3129,1162.724,Sanjeev Shah,Mumbai,Foods ,['Food & Beverage'],India,1783084502412,M,1.16,2026-07-03 18:45:02.412
3157,1141.256,Sachin Bansal,Bangalore,Flipkart,['Fashion & Retail'],India,1783084502412,M,1.14,2026-07-03 18:45:02.412
3188,1113.508,Bhavish Aggarwal,Bangalore,Ride-hailing app,['Technology'],India,1783084502412,M,1.11,2026-07-03 18:45:02.412
3199,1103.809,Kochouseph Chittilappilly,Kochi,Electrical appliances,['Manufacturing'],India,1783084502412,M,1.1,2026-07-03 18:45:02.412
3208,1098.166,Deepak Mehta,Vadodara,Chemicals,['Manufacturing'],India,1783084502412,M,1.1,2026-07-03 18:45:02.412
3215,1095.524,Kalpana Parekh,Mumbai,Adhesives,['Manufacturing'],India,1783084502412,F,1.1,2026-07-03 18:45:02.412
3223,1089.934,Chandubhai Virani,Rajkot,Snacks,['Food & Beverage'],India,1783084502412,M,1.09,2026-07-03 18:45:02.412
3223,1089.934,Kanjibhai Virani,Rajkot,Snacks,['Food & Beverage'],India,1783084502412,M,1.09,2026-07-03 18:45:02.412
3234,1085.929,Amit Burman,Delhi,Consumer goods,['Food & Beverage'],India,1783084502412,M,1.09,2026-07-03 18:45:02.412
3238,1085.324,Rajinder Gupta,Ludhiana,"Textiles, paper",['Manufacturing'],India,1783084502412,M,1.09,2026-07-03 18:45:02.412
3305,1039.715,Krishna Kumar Bangur,Kolkata,Graphite electrodes,['Manufacturing'],India,1783084502412,M,1.04,2026-07-03 18:45:02.412
3307,1039.023,Kamlesh Jain,Chennai,Recycling,['Metals & Mining'],India,1783084502412,M,1.04,2026-07-03 18:45:02.412
3316,1031.325,Harshil Mathur,Bangalore,Fintech,['Finance & Investments'],India,1783084502412,M,1.03,2026-07-03 18:45:02.412
3316,1031.325,Shashank Kumar,Bangalore,Fintech,['Finance & Investments'],India,1783084502412,M,1.03,2026-07-03 18:45:02.412
3318,1030.795,Suresh Krishna,Chennai,Auto parts,['Automotive'],India,1783084502412,M,1.03,2026-07-03 18:45:02.412
